Username,Comment,Likes,Commented_on,Updated_on
Big Al's BBQ,I have to say that the Urus towing the aventador has to be one of the greatest shots in Youtube history.  The fact that they are both white with black elements looked legit.  Well done lads,1,2023-08-31T12:52:51Z,2023-09-01T19:04:10Z
Paco,That black trim looks cheap AF.,1,2023-08-31T12:26:04Z,2023-08-31T12:26:04Z
Truffle ☻,Yall should try A Acura NSX type s There in only little made,0,2023-08-31T11:49:11Z,2023-08-31T11:49:11Z
graham sharp,Paint was the right move 😊,0,2023-08-31T11:39:28Z,2023-08-31T11:39:28Z
Hilly1979,First time i have ever seen a Lamborghini pulling another Lamborghini down the road😂,0,2023-08-31T09:41:23Z,2023-08-31T09:41:23Z
Jake Blake,Do a matching “SV-U” sticker on the Urus!!! 🫣🫣,0,2023-08-31T08:45:51Z,2023-08-31T08:45:51Z
Matt .P,"I'd say check your clockspring if nothing on the steering wheel is working, makes the most sense to me.",0,2023-08-31T08:15:49Z,2023-08-31T08:15:49Z
Mackie Cesar,My dream car 🤩,0,2023-08-31T07:28:01Z,2023-08-31T07:28:01Z
Brian Dale,Looks badass . I'll bet it still has a bullet hidden in it !,0,2023-08-31T07:20:18Z,2023-08-31T07:20:18Z
Adwaith,26:45 Alex choi says hi😈,0,2023-08-31T07:04:41Z,2023-08-31T07:04:41Z
